source	target	weight	resources	references	sign_decision
MYC	TERT	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022128;CollecTRI:10491298;CollecTRI:10606235;CollecTRI:10637317;CollecTRI:10723141;CollecTRI:10786671;CollecTRI:10914736;CollecTRI:11274400;CollecTRI:11279234;CollecTRI:11287602;CollecTRI:11435602;CollecTRI:11606399;CollecTRI:11916966;CollecTRI:12044867;CollecTRI:12646176;CollecTRI:12695333;CollecTRI:12802280;CollecTRI:12807729;CollecTRI:12821782;CollecTRI:12941894;CollecTRI:12970752;CollecTRI:14519204;CollecTRI:14563552;CollecTRI:14611815;CollecTRI:14612409;CollecTRI:14744757;CollecTRI:15226182;CollecTRI:15371341;CollecTRI:15595642;CollecTRI:15655249;CollecTRI:15665468;CollecTRI:15958520;CollecTRI:16205635;CollecTRI:16287840;CollecTRI:16402390;CollecTRI:16489011;CollecTRI:16785237;CollecTRI:16880523;CollecTRI:17070091;CollecTRI:17141225;CollecTRI:17706770;CollecTRI:17934056;CollecTRI:17942561;CollecTRI:17967894;CollecTRI:18093727;CollecTRI:18158869;CollecTRI:18226852;CollecTRI:18365874;CollecTRI:18367227;CollecTRI:18586674;CollecTRI:18754863;CollecTRI:18818322;CollecTRI:19003324;CollecTRI:19047367;CollecTRI:19148473;CollecTRI:19360348;CollecTRI:19649288;CollecTRI:19762557;CollecTRI:19787269;CollecTRI:19806010;CollecTRI:19912441;CollecTRI:20454512;CollecTRI:20723213;CollecTRI:21132266;CollecTRI:21553143;CollecTRI:21627565;CollecTRI:21807113;CollecTRI:21855630;CollecTRI:21995449;CollecTRI:22207128;CollecTRI:23759068;CollecTRI:23860446;CollecTRI:24705139;CollecTRI:9988278	PMID
SPI1	BGLAP	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022617	default activation
SMAD3	JUN	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022869;CollecTRI:12374795	PMID
SMAD4	JUN	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022869;CollecTRI:12374795	PMID
STAT5A	IL2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022878;CollecTRI:11435608;CollecTRI:17182565;CollecTRI:17911616;CollecTRI:22854263;CollecTRI:24550509;CollecTRI:24587342;CollecTRI:7479881;CollecTRI:8683106;CollecTRI:8943338;CollecTRI:9121484;CollecTRI:9817603	default activation
STAT5B	IL2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022878	regulon
RELA	FAS	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022897;CollecTRI:10871852;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:19628709;CollecTRI:22669972;CollecTRI:23604035;CollecTRI:9733827	PMID
WT1	NR0B1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10022915;CollecTRI:12151099	PMID
NR0B2	CASP1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022928	default activation
SP1	ALDOA	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10023068;CollecTRI:8524331	PMID
TP53	IGF1R	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023442;CollecTRI:11001824;CollecTRI:12089352;CollecTRI:12444079;CollecTRI:15131018;CollecTRI:16181796;CollecTRI:17014845;CollecTRI:17097318;CollecTRI:17600529;CollecTRI:20633551;CollecTRI:22033326;CollecTRI:24205274;CollecTRI:8710868	PMID
ZBTB16	CCNA2	-1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023668;CollecTRI:11920165;CollecTRI:14527952;CollecTRI:18504436;CollecTRI:20731660	PMID
ETV6	IL3	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10023677	PMID
RUNX1	IL3	-1.0	CollecTRI;CytReg_CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023677;CollecTRI:11997340;CollecTRI:15735013;CollecTRI:20506188;CollecTRI:8180380;CollecTRI:9036972	PMID
RUNX1	RHD	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10023677	default activation
STAT1	CDKN1A	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023678;CollecTRI:10866323;CollecTRI:11162600;CollecTRI:12239594;CollecTRI:16449678;CollecTRI:20738848;CollecTRI:21307941;CollecTRI:22591439	PMID
STAT3	CDKN1A	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023678;CollecTRI:11114718;CollecTRI:11773079;CollecTRI:12438313;CollecTRI:15063116;CollecTRI:15286705;CollecTRI:16923815;CollecTRI:18320073;CollecTRI:19329556;CollecTRI:19372587;CollecTRI:20654581;CollecTRI:21184768;CollecTRI:22328012;CollecTRI:23178160;CollecTRI:9694869	PMID
TP53	POLI	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10023689;CollecTRI:10913176	default activation
ETV4	GGT1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10026114;CollecTRI:9209098	PMID
MTF1	MCAT	1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10026134;CollecTRI:10605938;CollecTRI:11551972;CollecTRI:12716893;CollecTRI:15378601;CollecTRI:16423564;CollecTRI:17363595;CollecTRI:18023887;CollecTRI:18230604;CollecTRI:20979157;CollecTRI:21870250;CollecTRI:23374901	PMID
CREB1	HMGCS2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10026135	PMID
FOXA2	GCG	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10026208;CollecTRI:11773447;CollecTRI:11875061;CollecTRI:15828872;CollecTRI:21824254;CollecTRI:7776982;CollecTRI:8164696;CollecTRI:9121428	default activation
NFATC2	GCG	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10026208	default activation
CEBPB	PCK1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10026211;CollecTRI:10224054;CollecTRI:10681569;CollecTRI:10854692;CollecTRI:11453665;CollecTRI:12070172;CollecTRI:12560325;CollecTRI:15793235;CollecTRI:20797423;CollecTRI:20930553;CollecTRI:22955269;CollecTRI:8093246;CollecTRI:8928898;CollecTRI:9867832	default activation
FOS	ABCB1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10026303	default activation
RELA	ABCB1	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10026303;CollecTRI:12527911;CollecTRI:18234965;CollecTRI:19763573;CollecTRI:21054339;CollecTRI:22927901	PMID
PLAG1	PLAG1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10029085;CollecTRI:11284386	regulon
TP53	CDKN1A	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10029406;CollecTRI:10037739;CollecTRI:10072388;CollecTRI:10094833;CollecTRI:10101800;CollecTRI:10321740;CollecTRI:10327058;CollecTRI:10348346;CollecTRI:10435630;CollecTRI:10498892;CollecTRI:10499591;CollecTRI:10522058;CollecTRI:10559267;CollecTRI:10566557;CollecTRI:10597242;CollecTRI:10625687;CollecTRI:10660101;CollecTRI:10749849;CollecTRI:10753197;CollecTRI:10777217;CollecTRI:10792001;CollecTRI:10799578;CollecTRI:10910098;CollecTRI:10935506;CollecTRI:11021966;CollecTRI:11032828;CollecTRI:11152513;CollecTRI:11162506;CollecTRI:11162600;CollecTRI:11175333;CollecTRI:11278953;CollecTRI:11313463;CollecTRI:11313928;CollecTRI:11375890;CollecTRI:11384995;CollecTRI:11395510;CollecTRI:11429705;CollecTRI:11444825;CollecTRI:11514734;CollecTRI:11557753;CollecTRI:11668476;CollecTRI:11739748;CollecTRI:11748232;CollecTRI:11890931;CollecTRI:11892838;CollecTRI:11895854;CollecTRI:11922774;CollecTRI:11973611;CollecTRI:12007564;CollecTRI:12045203;CollecTRI:12080472;CollecTRI:12168779;CollecTRI:12173040;CollecTRI:12203124;CollecTRI:12226108;CollecTRI:12239594;CollecTRI:12379483;CollecTRI:12384701;CollecTRI:12392301;CollecTRI:12420214;CollecTRI:12433990;CollecTRI:12560513;CollecTRI:12573582;CollecTRI:12609999;CollecTRI:12640112;CollecTRI:12665570;CollecTRI:12681065;CollecTRI:12716906;CollecTRI:12717415;CollecTRI:12748190;CollecTRI:12782287;CollecTRI:12806965;CollecTRI:12851404;CollecTRI:12869419;CollecTRI:12889596;CollecTRI:12902982;CollecTRI:12925527;CollecTRI:12934105;CollecTRI:14517211;CollecTRI:14522900;CollecTRI:14580351;CollecTRI:14612423;CollecTRI:14614448;CollecTRI:14614455;CollecTRI:14635196;CollecTRI:14722112;CollecTRI:14743206;CollecTRI:15007388;CollecTRI:15009091;CollecTRI:15024021;CollecTRI:15051477;CollecTRI:15067082;CollecTRI:15082782;CollecTRI:15136035;CollecTRI:15184659;CollecTRI:15208672;CollecTRI:15248906;CollecTRI:15259070;CollecTRI:15302882;CollecTRI:15339933;CollecTRI:15371422;CollecTRI:15489892;CollecTRI:15492238;CollecTRI:15496412;CollecTRI:15509808;CollecTRI:15539944;CollecTRI:15566940;CollecTRI:15586362;CollecTRI:15660129;CollecTRI:15710329;CollecTRI:15728246;CollecTRI:15738655;CollecTRI:15741235;CollecTRI:15790310;CollecTRI:15851483;CollecTRI:15856024;CollecTRI:15860260;CollecTRI:15872011;CollecTRI:15882981;CollecTRI:15897882;CollecTRI:15985438;CollecTRI:15988033;CollecTRI:16061648;CollecTRI:16103882;CollecTRI:16107883;CollecTRI:16131836;CollecTRI:16204065;CollecTRI:16230382;CollecTRI:16261158;CollecTRI:16288208;CollecTRI:16317118;CollecTRI:16341121;CollecTRI:16343438;CollecTRI:16410722;CollecTRI:16434701;CollecTRI:16458891;CollecTRI:16488074;CollecTRI:16537920;CollecTRI:16540664;CollecTRI:16557594;CollecTRI:16574813;CollecTRI:16581545;CollecTRI:16601686;CollecTRI:16733561;CollecTRI:16778203;CollecTRI:16778363;CollecTRI:16894028;CollecTRI:16931520;CollecTRI:16970927;CollecTRI:17101782;CollecTRI:17108107;CollecTRI:17121856;CollecTRI:17145718;CollecTRI:17146435;CollecTRI:17158927;CollecTRI:17167174;CollecTRI:17224908;CollecTRI:17280505;CollecTRI:17307334;CollecTRI:17317670;CollecTRI:17339230;CollecTRI:17344317;CollecTRI:17404570;CollecTRI:17509529;CollecTRI:17569660;CollecTRI:17592775;CollecTRI:17610896;CollecTRI:17646389;CollecTRI:17678435;CollecTRI:17685229;CollecTRI:17721438;CollecTRI:17762884;CollecTRI:17786325;CollecTRI:17878219;CollecTRI:17903248;CollecTRI:17916908;CollecTRI:17938176;CollecTRI:17942917;CollecTRI:17977830;CollecTRI:17996705;CollecTRI:17997002;CollecTRI:18059034;CollecTRI:18094076;CollecTRI:18172861;CollecTRI:18193090;CollecTRI:18208621;CollecTRI:18225552;CollecTRI:18269916;CollecTRI:18272192;CollecTRI:18419600;CollecTRI:18446786;CollecTRI:18451802;CollecTRI:18483411;CollecTRI:18505818;CollecTRI:18521083;CollecTRI:18573881;CollecTRI:18593586;CollecTRI:18615633;CollecTRI:18628250;CollecTRI:18644983;CollecTRI:18645003;CollecTRI:18645021;CollecTRI:18656471;CollecTRI:18690848;CollecTRI:18719376;CollecTRI:18755897;CollecTRI:18757425;CollecTRI:18769160;CollecTRI:18840648;CollecTRI:18951877;CollecTRI:19067706;CollecTRI:19118657;CollecTRI:19243472;CollecTRI:19244234;CollecTRI:19383287;CollecTRI:19394332;CollecTRI:19435914;CollecTRI:19472317;CollecTRI:19501055;CollecTRI:19608464;CollecTRI:19630958;CollecTRI:19713748;CollecTRI:19723072;CollecTRI:19738071;CollecTRI:19749793;CollecTRI:19789303;CollecTRI:19843844;CollecTRI:19846554;CollecTRI:19882681;CollecTRI:19954840;CollecTRI:20036872;CollecTRI:20124454;CollecTRI:20153576;CollecTRI:20187950;CollecTRI:20190809;CollecTRI:20331637;CollecTRI:20448457;CollecTRI:20473858;CollecTRI:20511722;CollecTRI:20531308;CollecTRI:20673369;CollecTRI:20696891;CollecTRI:20797428;CollecTRI:20814747;CollecTRI:20817677;CollecTRI:20843368;CollecTRI:20885946;CollecTRI:20962589;CollecTRI:21084835;CollecTRI:21093383;CollecTRI:21242964;CollecTRI:21245169;CollecTRI:21295542;CollecTRI:21317932;CollecTRI:21325288;CollecTRI:21524151;CollecTRI:21528307;CollecTRI:21541551;CollecTRI:21546904;CollecTRI:21552844;CollecTRI:21557991;CollecTRI:21606339;CollecTRI:21642427;CollecTRI:21715977;CollecTRI:21733196;CollecTRI:21791610;CollecTRI:21858218;CollecTRI:21900401;CollecTRI:21903579;CollecTRI:21957244;CollecTRI:21969549;CollecTRI:22001409;CollecTRI:22086179;CollecTRI:22172947;CollecTRI:22190353;CollecTRI:22244155;CollecTRI:22253232;CollecTRI:22266186;CollecTRI:22266868;CollecTRI:22270849;CollecTRI:22279545;CollecTRI:22290440;CollecTRI:22427654;CollecTRI:22480684;CollecTRI:22503977;CollecTRI:22514644;CollecTRI:22532570;CollecTRI:22611192;CollecTRI:22713239;CollecTRI:22732402;CollecTRI:22894933;CollecTRI:22948151;CollecTRI:22989750;CollecTRI:23017582;CollecTRI:23066038;CollecTRI:23100276;CollecTRI:23146670;CollecTRI:23149933;CollecTRI:23159636;CollecTRI:23187802;CollecTRI:23208500;CollecTRI:23329847;CollecTRI:23349794;CollecTRI:23474493;CollecTRI:23650552;CollecTRI:23665236;CollecTRI:23759594;CollecTRI:23874636;CollecTRI:24074410;CollecTRI:24096481;CollecTRI:24134839;CollecTRI:24189165;CollecTRI:24205274;CollecTRI:24289924;CollecTRI:24356969;CollecTRI:24379401;CollecTRI:24384472;CollecTRI:24559687;CollecTRI:24584189;CollecTRI:24599959;CollecTRI:24821727;CollecTRI:24821728;CollecTRI:24835508;CollecTRI:25024194;CollecTRI:7478511;CollecTRI:7566157;CollecTRI:7624134;CollecTRI:7624148;CollecTRI:7696178;CollecTRI:7753560;CollecTRI:7774811;CollecTRI:7777546;CollecTRI:7970699;CollecTRI:8242752;CollecTRI:8547219;CollecTRI:8557703;CollecTRI:8603071;CollecTRI:8616838;CollecTRI:8632901;CollecTRI:8641969;CollecTRI:8647846;CollecTRI:8691637;CollecTRI:8749722;CollecTRI:8752276;CollecTRI:8799837;CollecTRI:8816885;CollecTRI:8878553;CollecTRI:8910340;CollecTRI:9108440;CollecTRI:9154806;CollecTRI:9183012;CollecTRI:9191059;CollecTRI:9207798;CollecTRI:9216067;CollecTRI:9223430;CollecTRI:9224526;CollecTRI:9233781;CollecTRI:9268365;CollecTRI:9268733;CollecTRI:9288775;CollecTRI:9349504;CollecTRI:9360984;CollecTRI:9405685;CollecTRI:9440695;CollecTRI:9472102;CollecTRI:9519881;CollecTRI:9525742;CollecTRI:9535786;CollecTRI:9582019;CollecTRI:9588214;CollecTRI:9614553;CollecTRI:9652736;CollecTRI:9707425;CollecTRI:9714336;CollecTRI:9816061;CollecTRI:9816111;CollecTRI:9895308;CollecTRI:9916993;CollecTRI:9920903;CollecTRI:9926942	PMID
TP53	RB1	-1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10029406;CollecTRI:11121443;CollecTRI:11244564;CollecTRI:11818069;CollecTRI:11850820;CollecTRI:12444079;CollecTRI:12749855;CollecTRI:15618023;CollecTRI:15827088;CollecTRI:1608930;CollecTRI:16931621;CollecTRI:21496227;CollecTRI:22729911;CollecTRI:22894933;CollecTRI:23474762;CollecTRI:8119988;CollecTRI:8270002;CollecTRI:8355507;CollecTRI:8720930;CollecTRI:8845569;CollecTRI:9774636	PMID
E2F1	CDKN1A	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10030670;CollecTRI:10702805;CollecTRI:15048076;CollecTRI:16923815;CollecTRI:17008321;CollecTRI:17167174;CollecTRI:9191053;CollecTRI:9748148	PMID
E2F3	CDKN1A	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10030670;CollecTRI:15855772;CollecTRI:17008321;CollecTRI:17167174;CollecTRI:22894933	PMID
HBP1	CDKN1A	-1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10030670;CollecTRI:11748232	PMID
YY1	NR3C1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10030686;CollecTRI:12039077	PMID
ESR1	MAPK8	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10037172	default activation
JUN	MAPK8	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10037172;CollecTRI:10092525;CollecTRI:10764760;CollecTRI:10954918;CollecTRI:12162804;CollecTRI:12183409;CollecTRI:12441106;CollecTRI:12637567;CollecTRI:15122763;CollecTRI:15225883;CollecTRI:15483136;CollecTRI:15582605;CollecTRI:15950217;CollecTRI:16397260;CollecTRI:16452190;CollecTRI:16611996;CollecTRI:17932215;CollecTRI:18374905;CollecTRI:18457359;CollecTRI:18535250;CollecTRI:18607069;CollecTRI:19010898;CollecTRI:19016586;CollecTRI:19289495;CollecTRI:19324081;CollecTRI:20353950;CollecTRI:20813260;CollecTRI:21216243;CollecTRI:21710359;CollecTRI:21719561;CollecTRI:21739277;CollecTRI:22344299;CollecTRI:22353755;CollecTRI:22802261;CollecTRI:23608488;CollecTRI:23939952;CollecTRI:24123203;CollecTRI:8610116;CollecTRI:9295358;CollecTRI:9427647;CollecTRI:9691914;CollecTRI:9743233;CollecTRI:9746785;CollecTRI:9867853;CollecTRI:9878062	PMID
NR1I3	CYP2B6	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10037683;CollecTRI:11075820;CollecTRI:11256950;CollecTRI:11502872;CollecTRI:12571232;CollecTRI:14570762;CollecTRI:14683479;CollecTRI:16449384;CollecTRI:16623664;CollecTRI:18303024;CollecTRI:18332083;CollecTRI:18677425;CollecTRI:19041682;CollecTRI:19467232;CollecTRI:19702527;CollecTRI:19928584;CollecTRI:21965327;CollecTRI:22484313;CollecTRI:22761658;CollecTRI:9742082	PMID
CEBPG	IVL	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10037704	PMID
MAFK	HBB	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10037736;CollecTRI:14747657;CollecTRI:18308612;CollecTRI:9478996	default activation
NFE2L3	HBB	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10037736	PMID
TP53	ACTA1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10037739	default activation
TP53	BCL2	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10037739;CollecTRI:10329733;CollecTRI:10744634;CollecTRI:10953306;CollecTRI:11193470;CollecTRI:11313951;CollecTRI:11713302;CollecTRI:11782367;CollecTRI:14684736;CollecTRI:15326476;CollecTRI:15767042;CollecTRI:16294215;CollecTRI:16738310;CollecTRI:17592775;CollecTRI:17693666;CollecTRI:18397889;CollecTRI:18487508;CollecTRI:18682598;CollecTRI:19137013;CollecTRI:19411072;CollecTRI:19521340;CollecTRI:19555669;CollecTRI:19714248;CollecTRI:20428827;CollecTRI:20501806;CollecTRI:20530667;CollecTRI:20840522;CollecTRI:21656028;CollecTRI:21666495;CollecTRI:21859835;CollecTRI:22266868;CollecTRI:22869582;CollecTRI:23638218;CollecTRI:24098340;CollecTRI:24155778;CollecTRI:24814047;CollecTRI:8174112;CollecTRI:8183578;CollecTRI:8205530;CollecTRI:9000137;CollecTRI:9649502	PMID
PHOX2A	DBH	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10037744;CollecTRI:10644760;CollecTRI:11034547;CollecTRI:11948255;CollecTRI:12609984;CollecTRI:14512028;CollecTRI:16280598;CollecTRI:21241805;CollecTRI:9341190;CollecTRI:9763470;CollecTRI:9798905	PMID
STAT4	IL12B	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10037767;CollecTRI:12893768	default activation
STAT4	IFNA1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10037767	default activation
STAT4	IRF1	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10037767;CollecTRI:10068671;CollecTRI:10358173	default activation
IRF1	IRF1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10037767;CollecTRI:10321737;CollecTRI:10358173;CollecTRI:11238639;CollecTRI:12493643;CollecTRI:1431317;CollecTRI:14656743;CollecTRI:15467738;CollecTRI:15560761;CollecTRI:15659847;CollecTRI:1614874;CollecTRI:17016442;CollecTRI:18079498;CollecTRI:18497060;CollecTRI:18694960;CollecTRI:20435892;CollecTRI:20825659;CollecTRI:21219575;CollecTRI:22002246;CollecTRI:7507207;CollecTRI:7678055;CollecTRI:8015552;CollecTRI:8885869;CollecTRI:8990383;CollecTRI:9307237	default activation
ATF2	IL6	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI	CollecTRI:10037779;CollecTRI:20086235	default activation
WT1	ODC1	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10047468;CollecTRI:8604351	PMID
NR2C2	CCND1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10048449	PMID
IRF3	IFNA1	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10048763;CollecTRI:10692430;CollecTRI:10933732;CollecTRI:10938111;CollecTRI:11162841;CollecTRI:11303025;CollecTRI:11473119;CollecTRI:12242290;CollecTRI:12821121;CollecTRI:15331713;CollecTRI:15741273;CollecTRI:16641293;CollecTRI:17785777;CollecTRI:19193793;CollecTRI:19349300;CollecTRI:20047764;CollecTRI:21795596;CollecTRI:22593165;CollecTRI:23028052;CollecTRI:24278020;CollecTRI:24535579;CollecTRI:27012395;CollecTRI:8524823;CollecTRI:9877175;CollecTRI:9891032	PMID
TFAP2A	CCL13	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10049733	default activation
FOS	FOS	-1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10050039;CollecTRI:10082538;CollecTRI:10319324;CollecTRI:10381381;CollecTRI:10891373;CollecTRI:11145955;CollecTRI:11389180;CollecTRI:11557580;CollecTRI:11701448;CollecTRI:11850800;CollecTRI:11950097;CollecTRI:12137955;CollecTRI:12506135;CollecTRI:12510024;CollecTRI:12658630;CollecTRI:1431315;CollecTRI:15123357;CollecTRI:16242410;CollecTRI:1668889;CollecTRI:16785536;CollecTRI:17182846;CollecTRI:1722028;CollecTRI:1822246;CollecTRI:18502516;CollecTRI:18557893;CollecTRI:18725523;CollecTRI:18757399;CollecTRI:1900040;CollecTRI:1903195;CollecTRI:1915270;CollecTRI:19196971;CollecTRI:1922053;CollecTRI:1944274;CollecTRI:19581295;CollecTRI:20682780;CollecTRI:2104799;CollecTRI:2110922;CollecTRI:2119495;CollecTRI:21655091;CollecTRI:21692876;CollecTRI:21914770;CollecTRI:21920361;CollecTRI:23562910;CollecTRI:24220339;CollecTRI:2498646;CollecTRI:2498806;CollecTRI:2511006;CollecTRI:2513130;CollecTRI:2850250;CollecTRI:3355549;CollecTRI:7857636;CollecTRI:7935406;CollecTRI:7942278;CollecTRI:8031467;CollecTRI:8114761;CollecTRI:8230424;CollecTRI:8348687;CollecTRI:8468462;CollecTRI:8589450;CollecTRI:8593588;CollecTRI:8681975;CollecTRI:8793851;CollecTRI:8810350;CollecTRI:8816505;CollecTRI:8846788;CollecTRI:8874187;CollecTRI:8890955;CollecTRI:8939609;CollecTRI:8970980;CollecTRI:9000503;CollecTRI:9019156;CollecTRI:9159206;CollecTRI:9368758;CollecTRI:9413158;CollecTRI:9452499;CollecTRI:9515031;CollecTRI:9813041;CollecTRI:9822695;CollecTRI:9858538	PMID
HNF1A	IGF1	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI	CollecTRI:10050749;CollecTRI:11544200;CollecTRI:12031966;CollecTRI:15933209;CollecTRI:17210751;CollecTRI:7836361;CollecTRI:8584026;CollecTRI:8943227	PMID
STAT5A	IGF1	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;TFactS_CollecTRI	CollecTRI:10050749;CollecTRI:14532269;CollecTRI:15677453;CollecTRI:17509524;CollecTRI:18276757;CollecTRI:19920132;CollecTRI:20372799;CollecTRI:20378540;CollecTRI:21651786;CollecTRI:23071812	PMID
ETS1	TIMP1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI	CollecTRI:10051488;CollecTRI:8557686	regulon
ETV4	TIMP1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10051488;CollecTRI:10692475;CollecTRI:1420363	PMID
CEBPB	ADRA1D	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10051504;CollecTRI:10796884;CollecTRI:10871045;CollecTRI:11058951;CollecTRI:11481261;CollecTRI:16431954	default activation
ARNT	CYP1B1	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10051545;CollecTRI:12376470;CollecTRI:12801909;CollecTRI:16115918;CollecTRI:19255421;CollecTRI:19287966;CollecTRI:19376845;CollecTRI:21742528;CollecTRI:24299737	PMID
