source	target	weight	resources	references	sign_decision
SOX10	EGR2	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:12538520;CollecTRI:19922439;CollecTRI:22492709	PMID
APEX1	PTEN	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17479230;CollecTRI:18324520	default activation
ATF5	WASF1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17481396	default activation
POU2F1	CYP4A11	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17481938	default activation
JUN	CYP4A11	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17481938	PMID
E2F1	FOXO1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI	CollecTRI:17482685	PMID
E2F1	FOXO3	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17482685	PMID
ESR1	FOXO1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17482685	PMID
CREB1	FST	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI	CollecTRI:15130492;CollecTRI:17482756	PMID
CEBPG	BPI	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17483073	default activation
HMGA1	PTGS2	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:17483309;CollecTRI:22898640;CollecTRI:9710122	PMID
AR	MED1	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:17483314;CollecTRI:21593191;CollecTRI:23887938;CollecTRI:24778216	default activation
MED1	AR	1.0	CollecTRI;TRRUST_CollecTRI	CollecTRI:22102282	regulon
AR	SPDEF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17483333	default activation
NKX3-1	SPDEF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17483333	default activation
SOX5	COMP	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17485346	PMID
SOX6	COMP	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17485346	PMID
